+---------+--------------------------------------+----------------------+---------+
| idx % 2 |                vapor                 |         nick         | n_games |
| 1       | 1a15292b-2d35-4f7d-8f9a-151fb5ea5da9 | RonNation            |         |
| 0       | 1ace340e-6ba8-4577-bc91-86928768a074 | greedless833         |         |
| 1       | 1b03522e-96c2-49df-bf83-bd4233034d80 | NeXima222            |         |
| 0       | 1b9a119f-5a4f-4ea2-b741-6323f6f84305 | main.battle.tan277   |         |
| 1       | 1bdf710f-330d-4234-8551-48e8c1101b81 | TheChief81           |         |
| 0       | 1c12a7cc-cb0e-4099-b4a6-2910cd20bea4 | ImTryingMyBestGG     |         |
| 1       | 1c82a06c-283a-4f0c-be4c-71578e97cb02 | linuxsimplerema405   |         |
| 0       | 1cc504a4-4e5e-4d84-9a16-a999980bad88 | Azzilla205           |         |
| 1       | 1d15c73e-5f72-45b3-aba6-b5d41f4b44fc | perck                |         |
| 0       | 1d2c4e01-e8dd-4d52-ba57-9e713cc49e45 | Irate924             |         |
| 1       | 1d337f33-6138-4d6a-95d5-51a9e250f298 | Aremion              |         |
| 0       | 1d47acad-082d-496e-8a7b-9fd219d384b9 | Death Dealer7        |         |
| 1       | 1d7cc095-cfc3-469b-a50c-16998fbce9f2 | Zadk                 |         |
| 0       | 1e3fbb25-384d-4314-a826-bff16f3d9122 | MS Barney            |         |
| 1       | 1e8425aa-ca13-4c95-8081-b5cbb8fab733 | [SeT] NinjaArma799   |         |
| 0       | 1ec4110e-ac9c-494c-9768-794826322770 | padpad               |         |
| 1       | 1f3ab7da-7408-4ebc-9df8-dbde3788ee49 | kayas2               |         |
| 0       | 1f42a7f7-979c-41a4-aa9b-628937061057 | Mibl -XIX-463        |         |
| 1       | 1f7e21e7-4958-4ce1-830c-b736bc5ce669 | gammelonkel731       |         |
| 0       | 1fcf7ded-59e0-4a4e-bbbe-66e90eaa399e | airballer_steam      |         |
| 1       | 206995f9-9dd7-44ae-b3ee-a63eec39755d | baileytinson632      |         |
| 0       | 22ea1796-228b-40e2-9f2a-d4d6d2381792 | (((xxxJULESxxx)108   |         |
| 1       | 2394f4a4-8d0e-4095-b75b-382657627a38 | [Aero                |         |
| 0       | 240707f1-fbad-44d4-8b8f-f5bb23488b59 | Rompecolitas         |         |
| 1       | 248e9c15-c511-4266-ab43-ba4ea5c44bfc | Wachis.17721         |         |
| 0       | 24c8cd3f-2ba3-40e0-b846-3f221c4e7258 | PBO.altitude         |         |
| 1       | 254b04b3-b773-49d2-8a7f-3143c8675c31 | CalMy253             |         |
| 0       | 25529040-d706-460a-93e5-a57fb564249d | ChrisTheGamer587     |         |
| 1       | 256a7aba-80c3-42aa-b273-d69c517fdc77 | gymi607              |         |
| 0       | 25f05524-8d27-4938-93c7-4f1cde6dcabc | [vg]Jik0X            | 533     |
| 1       | 26627d8d-f3b1-414b-a371-cabecb81c040 | Garota Veneno260     |         |
| 0       | 26ad89ff-cc55-4bbf-936c-34b154497d1e | IsraEVIL             | 19      |
| 0       | 26ad89ff-cc55-4bbf-936c-34b154497d1e | Paradigm             | 19      |
| 1       | 271bb869-a127-4c86-b3e3-fcab8285d9ec | a33z                 |         |
| 0       | 27567649-62f8-4915-96e8-6da08d94e507 | tckb123626           | 1       |
| 1       | 279f7f05-c179-48f3-a22c-77d766f0a986 | =VoRtEx=478          |         |
| 0       | 27dea5fc-4111-451f-98f5-82392d37e4c4 | bobbert              |         |
| 1       | 2915b5e6-b783-40ec-a21e-86f8e41c7f7b | McFly                |         |
| 0       | 29896d89-6814-4911-92fe-f85fcc05fe72 | Wingnut              |         |
| 1       | 2a0b822f-4e54-4163-8b0c-37fbaa958298 | Tsune532             |         |
| 0       | 2a191ba1-7099-4cc0-9940-21a67114762f | Manhigh831           |         |
| 1       | 2ab4991e-7ffd-4732-b280-3098004c5b32 | nogginrocket908      |         |
| 0       | 2ac1de92-1d31-4c19-a77c-e9c949e919b0 | MasterGeek           |         |
